"Are there things you avoid because of how you look?","Yes",1,0870-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,0870-questionnaire.csv 
"What is your gender identity?","Female",1,0870-questionnaire.csv 
,,5,0870-questionnaire.csv 
label,selection,val,1039-questionnaire.csv 
"Are you worried about how you look?","Yes",1,1039-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,1039-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,1039-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,1039-questionnaire.csv 
"Has it often upset you a lot?","No",0,1039-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,1039-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,1039-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,1039-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","Less Than One Hour",0,1039-questionnaire.csv 
"What is your gender identity?","Male",2,1039-questionnaire.csv 
,,5,1039-questionnaire.csv 
label,selection,val,1168-questionnaire.csv 
"Are you worried about how you look?","Yes",1,1168-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,1168-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,1168-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,1168-questionnaire.csv 
"Has it often upset you a lot?","Yes",1,1168-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","Yes",1,1168-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","Yes",1,1168-questionnaire.csv 
"Are there things you avoid because of how you look?","Yes",1,1168-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","One to Three Hours",1,1168-questionnaire.csv 
"What is your gender identity?","Female",1,1168-questionnaire.csv 
,,9,1168-questionnaire.csv 
label,selection,val,1446-questionnaire.csv 
"Are you worried about how you look?","No",0,1446-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","Yes",1,1446-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,1446-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,1446-questionnaire.csv 
"Has it often upset you a lot?","No",0,1446-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,1446-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,1446-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,1446-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","One to Three Hours",1,1446-questionnaire.csv 
"What is your gender identity?","Female",1,1446-questionnaire.csv 
,,4,1446-questionnaire.csv 
label,selection,val,1639-questionnaire.csv 
"Are you worried about how you look?","Yes",1,1639-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,1639-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","Yes",1,1639-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,1639-questionnaire.csv 
"Has it often upset you a lot?","No",0,1639-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,1639-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,1639-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,1639-questionnaire.csv 
"On an average day, how much time do you usually spend thinking about how you look?","One to Three Hours",1,1639-questionnaire.csv 
"What is your gender identity?","Male",2,1639-questionnaire.csv 
,,5,1639-questionnaire.csv 
label,selection,val,1687-questionnaire.csv 
"Are you worried about how you look?","Yes",1,1687-questionnaire.csv 
"Do you think about your appearance problems a lot and wish you could think about them less?","No",0,1687-questionnaire.csv 
"Is your main concern with how you look that you aren't thin enough or that you might get too fat?","No",0,1687-questionnaire.csv 
"Has this problem with how you look affected your life?","No",0,1687-questionnaire.csv 
"Has it often upset you a lot?","No",0,1687-questionnaire.csv 
"Has it often gotten in the way of doing things with friends, dating, relationships, or social activities?","No",0,1687-questionnaire.csv 
"Has it caused you any problems with school, work, or other activities?","No",0,1687-questionnaire.csv 
"Are there things you avoid because of how you look?","No",0,1687-questionnaire.csv 
