SubjectID,Image Shown,User Selection,Time Taken,Edit Direction,Edit Factor,Computed LPIPS,Computed L2,Computed MSSSIM
1039,61e21296-2ecf-42ac-97d3-73e311f7953b.png,Altered,2062 ms,bags_under_eyes,0.20635726779808516,0.13133710622787476,0.1018383800983429,0.5855646133422852
1039,01bee583-00d8-4f67-b576-a2633ca7a810.png,Altered,1821 ms,smiling,-0.8833723387922874,0.13204315304756165,0.10533016920089722,0.584152340888977
1039,d318966e-bc18-4150-a4a7-40fb4767423b.png,Altered,2012 ms,narrow_eyes,0.9625280385744832,0.13054047524929047,0.10190751403570175,0.5888988375663757
1039,d8983260-ce61-47bc-b1ff-84fe7032f263.png,Altered,1822 ms,smiling,0.9258746109153988,0.12992417812347412,0.09761013090610504,0.589745819568634
1039,f88c3855-64d7-41ae-bffd-a7c4c404719d.png,Altered,1808 ms,bags_under_eyes,0.6849821946007608,0.13144451379776,0.1027829647064209,0.5839250087738037
1039,b62e403b-a77a-46fe-8505-1e2d8af05794.png,Altered,1473 ms,pointy_nose,0.09424674474301664,0.13115601241588593,0.10119710862636566,0.5859683156013489
1039,52c43fd1-1b3c-4cc0-a096-0e07c136612f.png,Altered,1553 ms,bags_under_eyes,-0.447717120264401,0.130445659160614,0.10042464733123779,0.5877825021743774
1039,40fe8738-4a20-4971-8ec4-37007e844607.png,Altered,1684 ms,age,0.7398954819674308,0.13147896528244019,0.10386037081480026,0.5827813744544983
1039,1e499905-701b-48fa-95c2-aae43499014a.png,Original,1611 ms,Original,0,0,0,0
1039,7cafef0a-f387-4b27-a708-91581c932e24.png,Original,1913 ms,Original,0,0,0,0
1039,c8b6ae37-dd53-4cc1-8486-2a109c94eea9.png,Altered,1796 ms,pointy_nose,-0.8257889057106271,0.1303219497203827,0.10383426398038864,0.5880569815635681
1039,49c8a2b7-ba61-4717-bede-4f97a20026be.png,Altered,1392 ms,smiling,-0.8007422674344966,0.13201335072517395,0.10497176647186279,0.5842467546463013
1039,b7aa8256-d195-46eb-a722-1037803f9de9.png,Original,2012 ms,Original,0,0,0,0
1039,d11d7682-5c7a-46ae-a21e-d71ce19974d3.png,Altered,1284 ms,chubby,-0.775663882148325,0.13016627728939056,0.09994225203990936,0.5927555561065674
1039,35080df4-8e0b-48c9-9e4c-8b4f62bdcfb0.png,Altered,904 ms,chubby,-0.4706846668162632,0.1304343193769455,0.10022023320198059,0.5900713205337524
1039,e97bf2db-e366-40fc-95e2-4f5cc8fedb31.png,Altered,1291 ms,narrow_eyes,-0.1429297397110998,0.13099586963653564,0.10136568546295166,0.5859206318855286
1039,c43a2efa-ab56-4767-abc4-b00617218399.png,Altered,927 ms,bags_under_eyes,0.8106229135264378,0.13159632682800293,0.10312069952487946,0.5833838582038879
1039,2ea95cbf-40f2-4529-b309-d158a975a08b.png,Original,1217 ms,Original,0,0,0,0
1039,fc78a211-703f-4af1-b6b1-c7feba03bf16.png,Altered,1223 ms,pointy_nose,-0.6777800080497247,0.13047191500663757,0.10326598584651947,0.5879108309745789
1039,eac3d8f7-8ef9-4a43-933c-ded415b90dbf.png,Altered,1089 ms,chubby,-0.12080197059238174,0.13091149926185608,0.10099110007286072,0.5873085260391235
1039,d50c04d0-0862-4749-9819-c64110679fa6.png,Altered,968 ms,narrow_eyes,-0.25177696949725226,0.1311129629611969,0.10131441056728363,0.5856207013130188
1039,fc81323c-f335-4372-9b7e-00a503be5e69.png,Altered,1129 ms,narrow_eyes,-0.7752525766721108,0.13139401376247406,0.10122643411159515,0.5841819643974304
1039,255493ef-d0f5-4226-b26b-131c4e2d973e.png,Altered,1254 ms,pointy_nose,-0.3898302977731325,0.13074231147766113,0.10239535570144653,0.5873000025749207
1039,4abe013e-2801-4c91-8811-04386f0606ed.png,Altered,984 ms,smiling,0.4170591302492528,0.1301565170288086,0.0996558889746666,0.5876040458679199
1039,7f6674b8-30cf-4927-8a64-18b532120034.png,Altered,1100 ms,smiling,0.17015879947468693,0.130899116396904,0.10070033371448517,0.586835503578186
1039,c1a6786c-7d57-48c8-9ff1-6f90f6218073.png,Altered,1284 ms,age,0.2334951237125198,0.1309981644153595,0.102174311876297,0.5850251913070679
1039,61d4e223-1eb5-47f3-9608-27ccd373adf2.png,Original,1257 ms,Original,0,0,0,0
1039,b9bc1a33-5e45-4165-9324-d3f60102dee0.png,Altered,1282 ms,age,-0.894471853583418,0.13124045729637146,0.09891148656606674,0.5927329659461975
1168,e2425b99-2d95-4ab2-9709-ecd7716ce8e2.png,Altered,1781 ms,smiling,-0.737338585687721,0.12891140580177307,0.06562996655702591,0.5734714269638062
1168,e85fd115-c789-41db-a3e7-a62f6589ab36.png,Original,2219 ms,Original,0,0,0,0
1168,2b6c37e5-9871-476b-9f8d-69c5c0b7679e.png,Altered,964 ms,age,0.2242156389784582,0.12847958505153656,0.06482289731502533,0.5760074257850647
1168,698bd57f-c309-4e3f-a35a-bbe35301e096.png,Altered,704 ms,chubby,-0.6554665402214923,0.12864959239959717,0.06502394378185272,0.5741068720817566
1168,ce7c8c9b-ab22-4f23-85b7-9bb78a1c3d1b.png,Original,2516 ms,Original,0,0,0,0
